"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"Assurity Life Insurance Company         ","A-","SI - Non Med Term 350 - 10 Year Level","262.50","262.50","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","275.00","275.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","282.50","282.50","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","285.00","285.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","290.00","290.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","292.50","292.50","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","293.49","293.49","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","297.50","297.50","Pf"
"Assurity Life Insurance Company         ","A-","SI - Non Med Term 350 - 10 Year Level","302.50","302.50","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","305.00","305.00","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","310.00","310.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","312.50","312.50","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","312.50","312.50","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","312.50","312.50","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","312.50","312.50","Pf"
"Baltimore Life Insurance Company        ","B++","Secure Solutions Protector - 10 Year","315.00","315.00","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","317.50","317.50","Pf"
"Sagicor Life Insurance Company          ","A-","SI - Sage Term 10  (Simplified Issue)","317.50","317.50","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","320.00","320.00","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","322.50","322.50","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","325.00","325.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","325.00","325.00","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","325.00","325.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","325.00","325.00","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","327.50","327.50","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","327.50","327.50","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","332.07","332.07","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","332.07","332.07","Rg"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","335.00","335.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","335.00","335.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","337.50","337.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","337.50","337.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","337.50","337.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","337.50","337.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","337.50","337.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","337.50","337.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","337.50","337.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","337.50","337.50","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","337.50","337.50","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","339.00","339.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","339.00","339.00","Pf"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","339.00","339.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","340.00","340.00","Rg"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","340.00","340.00","Rg"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","340.00","340.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","345.00","345.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","345.00","345.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (250K PruXpr / OR)","345.00","345.00","Pf"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Essential 10 (NY/<250K PruXpress)","345.00","345.00","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","347.50","347.50","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","349.50","349.50","Pf"
"Baltimore Life Insurance Company        ","B++","Secure Solutions Protector - 10 Year","355.00","355.00","Rg"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","355.00","355.00","Rg"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","356.00","356.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","357.50","357.50","Rg"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","357.50","357.50","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","357.50","357.50","Pf"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","361.10","361.10","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","362.50","362.50","Rg"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","362.50","362.50","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","362.50","362.50","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","362.50","362.50","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","364.00","364.00","Rg"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","364.00","364.00","Rg"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","365.00","365.00","Rg"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","365.15","365.15","Pf"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","367.50","367.50","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","370.00","370.00","Rg"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","372.50","372.50","Pf"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","372.50","372.50","Rg"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","372.50","372.50","Rg"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","375.00","375.00","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","375.00","375.00","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","377.50","377.50","Rg"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (<250K PruXpress ONLY)","377.50","377.50","Pf"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (<250K PruXpress ONLY/WA)","377.50","377.50","Pf"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (250K PruXpress/OR","377.50","377.50","Pf"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Elite 10  (NY/<250K PruXpress ONLY)","377.50","377.50","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","377.50","377.50","Rg"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","377.50","377.50","Rg"
"Assurity Life Insurance Company         ","A-","SI - Non Med Term 350 - 10 Year Level","380.00","380.00","Rg"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","380.00","380.00","Pf"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","380.00","380.00","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year","382.50","382.50","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year  (OR)","382.50","382.50","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10","382.50","382.50","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","385.00","385.00","Rg"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","385.00","385.00","Rg"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","385.00","385.00","Rg"
"Western-Southern Life Assurance Company ","A+","10-Year Guaranteed Level Term","385.00","385.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","385.89","385.89","Rg"
"Midland National Life Insurance Company ","A+","Executive CS3 - 10 Year Term","387.50","387.50","Pf"
"Provident Life and Accident Assurance   ","A","Level Term I - 10 Year","387.50","387.50","Rg"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","390.00","390.00","Rg"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","390.00","390.00","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term","392.50","392.50","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","392.50","392.50","Rg"
"EMC National Life Company               ","A-","Term Select - 10 Year","395.00","395.00","Rg"
