"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"AXA Equitable Life Insurance Company    ","A+","Equitable Term 10  (151X)","3,795.00","3,795.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","4,015.00","4,015.00","Pf"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","4,070.00","4,070.00","Rg"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","4,070.00","4,070.00","Rg"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","4,090.00","4,090.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term","4,110.00","4,110.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term  (WA)","4,110.00","4,110.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","4,170.00","4,170.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","4,205.00","4,205.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","4,205.00","4,205.00","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","4,205.00","4,205.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","4,315.00","4,315.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","4,315.00","4,315.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","4,315.00","4,315.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","4,315.00","4,315.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","4,315.00","4,315.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","4,315.00","4,315.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","4,315.00","4,315.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","4,315.00","4,315.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","4,345.00","4,345.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","4,424.42","4,424.42","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","4,443.00","4,443.00","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","4,460.00","4,460.00","Pf"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","4,477.20","4,477.20","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","4,485.35","4,485.35","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","4,485.35","4,485.35","Rg"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","4,514.00","4,514.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","4,514.00","4,514.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) - 10 Year Term II  (VI)","4,520.00","4,520.00","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","4,525.00","4,525.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","4,525.00","4,525.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","4,540.00","4,540.00","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","4,542.00","4,542.00","Pf"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","4,542.00","4,542.00","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","4,605.00","4,605.00","Pf"
