"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","370.00","370.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","385.00","385.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","422.00","422.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","423.00","423.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","423.00","423.00","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","423.00","423.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","428.00","428.00","Pf"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","434.00","434.00","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","434.00","434.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","435.29","435.29","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","440.00","440.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","440.00","440.00","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","444.00","444.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","448.00","448.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","448.00","448.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","449.00","449.00","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","449.00","449.00","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","453.00","453.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","453.00","453.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","453.00","453.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","453.00","453.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","458.00","458.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","458.00","458.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","458.00","458.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","458.00","458.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","458.00","458.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","458.00","458.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","458.00","458.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","458.00","458.00","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","464.00","464.00","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","465.00","465.00","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","487.00","487.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","487.00","487.00","Pf"
"Sagicor Life Insurance Company          ","A-","SI - Sage Term 10  (Simplified Issue)","487.00","487.00","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","492.00","492.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","492.00","492.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","494.00","494.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","494.00","494.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","494.00","494.00","Pf"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","495.00","495.00","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","496.00","496.00","Pf"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","497.64","497.64","Pf"
"Western-Southern Life Assurance Company ","A+","10-Year Guaranteed Level Term","507.00","507.00","Pf"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","514.00","514.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","514.00","514.00","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","516.00","516.00","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","518.69","518.69","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","518.69","518.69","Rg"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","520.50","520.50","Pf"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","520.50","520.50","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10","524.00","524.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","535.00","535.00","Rg"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","536.00","536.00","Rg"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","540.00","540.00","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","544.00","544.00","Pf"
"Assurity Life Insurance Company         ","A-","SI - Non Med Term 350 - 10 Year Level","553.00","553.00","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","562.00","562.00","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (2005)","563.00","563.00","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","566.00","566.00","Rg"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","566.00","566.00","Rg"
"North American Co for Life and Health   ","A+","ADDvantage 10","566.00","566.00","Rg"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","566.00","566.00","Rg"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","566.00","566.00","Rg"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","566.00","566.00","Rg"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","566.00","566.00","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term","568.00","568.00","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","568.00","568.00","Rg"
"AAA Life Insurance Company              ","A-","10 Year Level Term","579.64","579.64","Rg"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","581.00","581.00","Rg"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","581.00","581.00","Rg"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","584.00","584.00","Rg"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","584.24","584.24","Rg"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","586.00","586.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","586.00","586.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (250K PruXpr / OR)","586.00","586.00","Pf"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Essential 10 (NY/<250K PruXpress)","586.00","586.00","Pf"
"Midland National Life Insurance Company ","A+","Executive CS3 - 10 Year Term","587.00","587.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","587.00","587.00","Rg"
"Columbian Life Insurance Company        ","A-","Term Line 10 - 10 Year R&C Term","590.00","590.00","Rg"
"Columbian Mutual Life Insurance Company ","A-","Term Line 10 - 10 Year R&C Term","590.00","590.00","Rg"
"EMC National Life Company               ","A-","Term Select - 10 Year","590.00","590.00","Rg"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","592.00","592.00","Rg"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","592.00","592.00","Rg"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","592.00","592.00","Rg"
"MTL Insurance Company                   ","A-","SelecTerm-10","597.00","597.00","Rg"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","597.00","597.00","Rg"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","597.00","597.00","Rg"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","601.00","601.00","Rg"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","601.00","601.00","Rg"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","601.00","601.00","Rg"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","601.00","601.00","Rg"
