"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","581.93","581.93","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","581.93","581.93","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","608.69","608.69","P+"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","660.00","660.00","P+"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","660.00","660.00","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","674.70","674.70","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","682.50","682.50","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","697.50","697.50","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","700.00","700.00","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","716.87","716.87","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","716.87","716.87","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","722.50","722.50","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","746.13","746.13","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","746.50","746.50","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","746.50","746.50","P+"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","757.50","757.50","P+"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","765.00","765.00","Pf"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","765.00","765.00","Pf"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","776.00","776.00","P+"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","785.00","785.00","P+"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","785.00","785.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","805.00","805.00","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","807.50","807.50","P+"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","807.50","807.50","P+"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","810.00","810.00","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","810.00","810.00","P+"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10  (xtended conversion)","817.50","817.50","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","832.50","832.50","Pf"
"Allstate Life Insurance Co of New York  ","A+","TrueTerm (2012) - 10 Year","834.00","834.00","P+"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","845.00","845.00","P+"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","846.00","846.00","P+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","849.00","849.00","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","849.00","849.00","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","852.50","852.50","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","857.50","857.50","P+"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","860.00","860.00","Pf"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","860.00","860.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","872.50","872.50","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","877.50","877.50","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","890.00","890.00","P+"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","904.50","904.50","P+"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","910.00","910.00","P+"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","910.00","910.00","P+"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Essential 10 (NY/<250K PruXpress)","910.00","910.00","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","912.50","912.50","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","912.50","912.50","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","915.00","915.00","P+"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","921.00","921.00","Pf"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","922.50","922.50","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","922.50","922.50","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","922.50","922.50","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","922.50","922.50","P+"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","922.50","922.50","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","937.50","937.50","P+"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10  (xtended conversion)","940.00","940.00","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","941.20","941.20","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","942.50","942.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","942.50","942.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","942.50","942.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","942.50","942.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10","942.50","942.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","942.50","942.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","942.50","942.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","942.50","942.50","P+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","944.00","944.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","944.00","944.00","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","945.00","945.00","P+"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","945.00","945.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","945.00","945.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","945.00","945.00","P+"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","947.50","947.50","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","950.00","950.00","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","950.00","950.00","P+"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","950.00","950.00","P+"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year","955.00","955.00","P+"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year  (OR)","955.00","955.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","957.50","957.50","R+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","962.12","962.12","R+"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (250K PruXpr / OR)","962.50","962.50","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","962.50","962.50","P+"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (<250K PruXpress ONLY)","965.00","965.00","P+"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (<250K PruXpress ONLY/WA)","965.00","965.00","P+"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Elite 10  (NY/<250K PruXpress ONLY)","965.00","965.00","P+"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","965.00","965.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","970.00","970.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","970.00","970.00","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","975.00","975.00","Pf"
"Lincoln Life & Annuity Company of NY    ","A+","LifeElement (SM) Level Term - 10 Year","975.00","975.00","P+"
"Lincoln National Life Insurance Company ","A+","LifeElement (SM) Level Term - 10 Year","975.00","975.00","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","975.00","975.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","990.00","990.00","R+"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","992.50","992.50","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","994.50","994.50","P+"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","995.00","995.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","995.00","995.00","Pf"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Essential 10 (NY/<250K PruXpress)","995.00","995.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","995.00","995.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","995.00","995.00","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","995.00","995.00","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","1,000.00","1,000.00","P+"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","1,000.00","1,000.00","Rg"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","1,000.00","1,000.00","Rg"
"Midland National Life Insurance Company ","A+","Executive CS3 - 10 Year Term","1,005.00","1,005.00","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","1,015.00","1,015.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","1,017.50","1,017.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","1,017.50","1,017.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","1,017.50","1,017.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","1,017.50","1,017.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","1,017.50","1,017.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","1,017.50","1,017.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","1,017.50","1,017.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","1,017.50","1,017.50","Pf"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","1,022.50","1,022.50","P+"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","1,022.50","1,022.50","Pf"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (250K PruXpress/OR","1,022.50","1,022.50","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","1,022.50","1,022.50","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10","1,025.00","1,025.00","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","1,035.00","1,035.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","1,035.00","1,035.00","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year","1,037.50","1,037.50","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year  (OR)","1,037.50","1,037.50","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","1,037.50","1,037.50","Pf"
"Provident Life and Accident Assurance   ","A","Level Term I - 10 Year","1,037.50","1,037.50","P+"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","1,040.00","1,040.00","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","1,040.00","1,040.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","1,047.50","1,047.50","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","1,047.50","1,047.50","Pf"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","1,050.00","1,050.00","P+"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (<250K PruXpress ONLY)","1,057.50","1,057.50","Pf"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (<250K PruXpress ONLY/WA)","1,057.50","1,057.50","Pf"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Elite 10  (NY/<250K PruXpress ONLY)","1,057.50","1,057.50","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","1,059.84","1,059.84","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","1,059.84","1,059.84","Rg"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","1,062.50","1,062.50","Pf"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","1,065.00","1,065.00","R+"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","1,065.00","1,065.00","R+"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) - 10 Year Term II  (VI)","1,067.50","1,067.50","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","1,070.00","1,070.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","1,070.00","1,070.00","Pf"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","1,070.00","1,070.00","P+"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (250K PruXpr / OR)","1,075.00","1,075.00","Pf"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","1,076.25","1,076.25","Pf"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","1,083.50","1,083.50","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","1,087.50","1,087.50","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","1,092.50","1,092.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","1,092.50","1,092.50","R+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","1,092.50","1,092.50","R+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","1,092.50","1,092.50","R+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","1,092.50","1,092.50","R+"
"Genworth Life Insurance Company         ","A","Colony Term 10","1,092.50","1,092.50","R+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","1,092.50","1,092.50","R+"
