"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","132.50","132.50","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","135.00","135.00","P+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","141.50","141.50","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","141.50","141.50","P+"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","147.50","147.50","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","150.00","150.00","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","150.00","150.00","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","150.00","150.00","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","150.18","150.18","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","150.18","150.18","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","152.18","152.18","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","152.50","152.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","155.00","155.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","155.00","155.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","155.00","155.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","155.00","155.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10","155.00","155.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","155.00","155.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","155.00","155.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","155.00","155.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","155.00","155.00","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","156.50","156.50","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","156.50","156.50","P+"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","157.50","157.50","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","157.50","157.50","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","157.50","157.50","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","160.00","160.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","160.00","160.00","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","160.00","160.00","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","160.80","160.80","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","162.50","162.50","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","162.50","162.50","P+"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","162.50","162.50","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","163.05","163.05","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","164.00","164.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","164.00","164.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","165.00","165.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","165.00","165.00","P+"
"EMC National Life Company               ","A-","Term Select - 10 Year","167.50","167.50","P+"
"Symetra Life Insurance Company          ","A","10 Year Level Term","167.50","167.50","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","167.50","167.50","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","170.00","170.00","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","172.50","172.50","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","172.50","172.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","175.00","175.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","175.00","175.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","175.00","175.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","175.00","175.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","175.00","175.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","175.00","175.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","175.00","175.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","175.00","175.00","Pf"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","175.00","175.00","P+"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","175.00","175.00","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","175.00","175.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","175.00","175.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","175.00","175.00","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","177.50","177.50","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","177.50","177.50","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","177.50","177.50","Pf"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","178.50","178.50","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","182.50","182.50","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","182.50","182.50","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","182.50","182.50","P+"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","182.50","182.50","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","182.50","182.50","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","184.33","184.33","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","184.33","184.33","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","185.00","185.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","185.00","185.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","185.00","185.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","185.00","185.00","Pf"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","187.00","187.00","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","187.50","187.50","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","187.50","187.50","P+"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","187.50","187.50","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","187.50","187.50","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","187.50","187.50","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year","190.00","190.00","P+"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year  (OR)","190.00","190.00","P+"
"EMC National Life Company               ","A-","Term Select - 10 Year","190.00","190.00","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10  (xtended conversion)","192.50","192.50","P+"
"Midland National Life Insurance Company ","A+","Executive CS3 - 10 Year Term","192.50","192.50","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","192.50","192.50","Pf"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","195.00","195.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","195.00","195.00","R+"
"Sagicor Life Insurance Company          ","A-","SI - Sage Term 10  (Simplified Issue)","195.00","195.00","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","197.00","197.00","P+"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","197.50","197.50","P+"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","197.50","197.50","P+"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","197.50","197.50","Pf"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","197.50","197.50","Pf"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","199.80","199.80","Pf"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","200.00","200.00","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","200.00","200.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","200.00","200.00","R+"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","200.00","200.00","P+"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","200.00","200.00","Pf"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","200.00","200.00","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","202.50","202.50","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","202.50","202.50","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","202.50","202.50","Pf"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","205.00","205.00","Pf"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","205.00","205.00","P+"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","205.00","205.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","206.53","206.53","R+"
