"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term","430.00","430.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term  (WA)","430.00","430.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term","465.00","465.00","Rg"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term  (WA)","465.00","465.00","Rg"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","475.00","475.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","494.59","494.59","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","505.00","505.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","505.00","505.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","505.00","505.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","505.00","505.00","Pf"
"AXA Equitable Life Insurance Company    ","A+","Equitable Term 10  (151X)","510.00","510.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","510.00","510.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","510.00","510.00","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","533.00","533.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","540.00","540.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","540.00","540.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","545.00","545.00","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","545.00","545.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","550.00","550.00","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","550.00","550.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","550.00","550.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","550.00","550.00","Pf"
"Sagicor Life Insurance Company          ","A-","Sage Term 10","555.00","555.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10","560.00","560.00","Pf"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","564.00","564.00","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","565.00","565.00","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","570.00","570.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","570.00","570.00","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","570.00","570.00","Pf"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","572.40","572.40","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","582.53","582.53","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","582.53","582.53","Rg"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","585.00","585.00","Rg"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","595.00","595.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","595.00","595.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","600.00","600.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","600.00","600.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","600.00","600.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","600.00","600.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","600.00","600.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","600.00","600.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","600.00","600.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","600.00","600.00","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","600.00","600.00","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","605.00","605.00","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","605.00","605.00","Rg"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","605.00","605.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","605.00","605.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (250K PruXpr / OR)","605.00","605.00","Pf"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Essential 10 (NY/<250K PruXpress)","605.00","605.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","605.00","605.00","Rg"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","605.00","605.00","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","607.00","607.00","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","609.00","609.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","609.00","609.00","Pf"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","610.00","610.00","Rg"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","610.00","610.00","Rg"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","610.00","610.00","Rg"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","611.00","611.00","Pf"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","615.00","615.00","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","615.00","615.00","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10  (xtended conversion)","620.00","620.00","Rg"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","620.00","620.00","Rg"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","620.00","620.00","Pf"
"Lincoln Life & Annuity Company of NY    ","A+","LifeElement (SM) Level Term - 10 Year","625.00","625.00","Pf"
"Lincoln National Life Insurance Company ","A+","LifeElement (SM) Level Term - 10 Year","625.00","625.00","Pf"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","625.00","625.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","625.00","625.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","625.00","625.00","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","625.00","625.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","625.03","625.03","Rg"
"Baltimore Life Insurance Company        ","B++","Secure Solutions Protector - 10 Year","630.00","630.00","Pf"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","631.35","631.35","Pf"
"John Hancock Life Insurance Company USA ","A+","10 Year Level Premium Term","635.00","635.00","Pf"
"John Hancock Life Insurance Company NY  ","A+","10 Year Level Premium Term","635.00","635.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","640.00","640.00","Rg"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","640.00","640.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","640.00","640.00","Pf"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","645.00","645.00","Rg"
