"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"AAA Life Insurance Company              ","A-","10 Year Level Term","240.59","240.59","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","245.00","245.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","255.00","255.00","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","256.64","256.64","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","256.64","256.64","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","265.80","265.80","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","270.00","270.00","P+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","276.50","276.50","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","276.50","276.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","282.50","282.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","282.50","282.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","282.50","282.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","282.50","282.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10","282.50","282.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","282.50","282.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","282.50","282.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","282.50","282.50","P+"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","287.50","287.50","P+"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","287.50","287.50","P+"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","287.50","287.50","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","290.00","290.00","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","292.50","292.50","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","292.50","292.50","P+"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","295.00","295.00","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","295.00","295.00","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","295.00","295.00","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","296.54","296.54","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","297.50","297.50","P+"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","300.00","300.00","P+"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","300.00","300.00","P+"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","303.50","303.50","P+"
"EMC National Life Company               ","A-","Term Select - 10 Year","305.00","305.00","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","310.00","310.00","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","310.00","310.00","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","310.00","310.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","310.00","310.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","310.00","310.00","P+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","311.50","311.50","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","311.50","311.50","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","312.50","312.50","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","312.50","312.50","P+"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","312.50","312.50","P+"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","315.00","315.00","P+"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","315.00","315.00","P+"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","315.00","315.00","P+"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","315.00","315.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","320.00","320.00","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","324.18","324.18","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","324.18","324.18","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","325.00","325.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","325.00","325.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","325.00","325.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","325.00","325.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","325.00","325.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","325.00","325.00","Pf"
