"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","135.00","135.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","137.00","137.00","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","145.47","145.47","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","146.68","146.68","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","146.68","146.68","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","147.00","147.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","148.00","148.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","148.00","148.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","148.00","148.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","148.00","148.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10","148.00","148.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","148.00","148.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","148.00","148.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","148.00","148.00","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","150.00","150.00","P+"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","151.00","151.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","158.00","158.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","161.00","161.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","161.00","161.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","161.00","161.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","161.00","161.00","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","163.00","163.00","P+"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","163.00","163.00","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","166.00","166.00","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","166.00","166.00","P+"
"EMC National Life Company               ","A-","Term Select - 10 Year","166.00","166.00","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","167.00","167.00","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","167.00","167.00","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","167.85","167.85","Pf"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","169.00","169.00","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","169.00","169.00","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","169.00","169.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","170.00","170.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","170.00","170.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","170.00","170.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","170.00","170.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","170.00","170.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","170.00","170.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","170.00","170.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","170.00","170.00","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","171.40","171.40","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","171.40","171.40","Pf"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","171.68","171.68","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","175.20","175.20","P+"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","175.49","175.49","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","176.00","176.00","P+"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","178.00","178.00","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","179.00","179.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","179.00","179.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","179.00","179.00","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","179.00","179.00","P+"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","179.00","179.00","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","179.00","179.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","180.00","180.00","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","180.00","180.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","180.00","180.00","R+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","182.00","182.00","R+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","183.00","183.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","183.00","183.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","183.00","183.00","R+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","183.00","183.00","R+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","183.00","183.00","R+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","183.00","183.00","R+"
"Genworth Life Insurance Company         ","A","Colony Term 10","183.00","183.00","R+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","183.00","183.00","R+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","183.00","183.00","R+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","183.00","183.00","R+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","183.00","183.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","184.00","184.00","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","184.00","184.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","185.00","185.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","185.00","185.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","185.00","185.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","187.00","187.00","R+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","187.00","187.00","R+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","187.00","187.00","R+"
"EMC National Life Company               ","A-","Term Select - 10 Year","188.00","188.00","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","189.00","189.00","P+"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","189.00","189.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","190.00","190.00","R+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","190.00","190.00","R+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","190.00","190.00","R+"
"Midland National Life Insurance Company ","A+","Executive CS3 - 10 Year Term","191.00","191.00","P+"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","191.00","191.00","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","191.00","191.00","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","192.00","192.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","192.00","192.00","Pf"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","192.56","192.56","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","194.00","194.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","194.71","194.71","R+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","195.00","195.00","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","196.00","196.00","P+"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","197.00","197.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","197.00","197.00","Rg"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","199.00","199.00","Rg"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","199.00","199.00","P+"
"Sagicor Life Insurance Company          ","A-","SI - Sage Term 10  (Simplified Issue)","199.00","199.00","Pf"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","200.00","200.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","200.00","200.00","Rg"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","200.00","200.00","Rg"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","200.00","200.00","Rg"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","201.00","201.00","R+"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","201.00","201.00","R+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","202.00","202.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","202.00","202.00","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","202.00","202.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","203.00","203.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","203.00","203.00","Pf"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","203.50","203.50","P+"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","203.50","203.50","P+"
