"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","1,069.12","1,069.12","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","1,069.12","1,069.12","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","1,112.65","1,112.65","P+"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","1,210.00","1,210.00","P+"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","1,210.00","1,210.00","P+"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","1,220.00","1,220.00","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","1,240.20","1,240.20","P+"
"AXA Equitable Life Insurance Company    ","A+","Equitable Term 10  (151X)","1,260.00","1,260.00","P+"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","1,285.35","1,285.35","P+"
"Independent Order of Foresters          ","A","Foresters Lifefirst - 10 Year","1,300.00","1,300.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","1,310.00","1,310.00","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","1,310.32","1,310.32","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","1,310.32","1,310.32","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","1,333.00","1,333.00","P+"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10  (xtended conversion)","1,340.00","1,340.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","1,345.00","1,345.00","P+"
"Allstate Life Insurance Co of New York  ","A+","TrueTerm (2012) - 10 Year","1,350.00","1,350.00","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","1,350.00","1,350.00","P+"
"Independent Order of Foresters          ","A","Foresters Lifefirst - 10 Year","1,355.00","1,355.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","1,361.36","1,361.36","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","1,395.00","1,395.00","P+"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","1,410.00","1,410.00","Pf"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","1,410.00","1,410.00","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","1,424.00","1,424.00","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","1,424.00","1,424.00","P+"
"AXA Equitable Life Insurance Company    ","A+","Equitable Term 10  (151X)","1,460.00","1,460.00","Pf"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","1,466.00","1,466.00","P+"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","1,480.00","1,480.00","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","1,480.00","1,480.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","1,480.00","1,480.00","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","1,485.00","1,485.00","P+"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","1,485.00","1,485.00","P+"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","1,495.00","1,495.00","P+"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","1,495.00","1,495.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","1,505.00","1,505.00","Pf"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","1,531.35","1,531.35","Pf"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","1,555.00","1,555.00","P+"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10  (xtended conversion)","1,560.00","1,560.00","P+"
"Lincoln Life & Annuity Company of NY    ","A+","LifeElement (SM) Level Term - 10 Year","1,560.00","1,560.00","P+"
"Lincoln National Life Insurance Company ","A+","LifeElement (SM) Level Term - 10 Year","1,560.00","1,560.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","1,625.00","1,625.00","R+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","1,629.00","1,629.00","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","1,629.00","1,629.00","P+"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","1,632.00","1,632.00","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","1,643.00","1,643.00","Pf"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","1,645.00","1,645.00","Pf"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","1,645.00","1,645.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","1,655.00","1,655.00","R+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","1,656.20","1,656.20","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","1,660.00","1,660.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","1,680.00","1,680.00","P+"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","1,695.00","1,695.00","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","1,695.00","1,695.00","Pf"
"Lincoln Life & Annuity Company of NY    ","A+","LifeElement (SM) Level Term - 10 Year","1,710.00","1,710.00","Pf"
"Lincoln National Life Insurance Company ","A+","LifeElement (SM) Level Term - 10 Year","1,710.00","1,710.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term","1,715.00","1,715.00","P+"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term  (WA)","1,715.00","1,715.00","P+"
"Allstate Life Insurance Co of New York  ","A+","TrueTerm (2012) - 10 Year","1,722.00","1,722.00","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","1,722.00","1,722.00","P+"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","1,725.00","1,725.00","P+"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","1,735.00","1,735.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","1,735.00","1,735.00","P+"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","1,735.00","1,735.00","P+"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Essential 10 (NY/<250K PruXpress)","1,735.00","1,735.00","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","1,740.00","1,740.00","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","1,740.00","1,740.00","P+"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","1,740.00","1,740.00","P+"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year","1,745.00","1,745.00","P+"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year  (OR)","1,745.00","1,745.00","P+"
"AXA Equitable Life Insurance Company    ","A+","Equitable Term 10  (151X)","1,755.00","1,755.00","R+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","1,755.00","1,755.00","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","1,755.00","1,755.00","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","1,755.00","1,755.00","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","1,775.00","1,775.00","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","1,775.00","1,775.00","P+"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","1,780.00","1,780.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","1,780.00","1,780.00","Pf"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","1,782.00","1,782.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","1,786.79","1,786.79","R+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","1,800.00","1,800.00","P+"
"MTL Insurance Company                   ","A-","SelecTerm-10","1,800.00","1,800.00","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","1,800.00","1,800.00","P+"
