"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","127.50","127.50","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","130.00","130.00","P+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","134.00","134.00","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","134.00","134.00","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","135.00","135.00","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","135.00","135.00","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","135.88","135.88","P+"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","140.00","140.00","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","140.00","140.00","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","140.14","140.14","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","140.14","140.14","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","142.50","142.50","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","142.50","142.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","145.00","145.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","145.00","145.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","145.00","145.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","145.00","145.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10","145.00","145.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","145.00","145.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","145.00","145.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","145.00","145.00","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","145.80","145.80","P+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","146.50","146.50","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","146.50","146.50","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","147.50","147.50","Pf"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","150.00","150.00","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","150.00","150.00","P+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","151.50","151.50","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","151.50","151.50","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","152.50","152.50","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","155.00","155.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","155.00","155.00","P+"
"Symetra Life Insurance Company          ","A","10 Year Level Term","155.00","155.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","155.00","155.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","157.50","157.50","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","157.50","157.50","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","157.62","157.62","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","160.00","160.00","Pf"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","160.00","160.00","P+"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","160.00","160.00","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","160.00","160.00","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","160.00","160.00","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","162.50","162.50","P+"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","162.50","162.50","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","162.50","162.50","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","162.50","162.50","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","162.50","162.50","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","165.00","165.00","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","165.00","165.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","165.00","165.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","165.00","165.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","165.00","165.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","165.00","165.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","165.00","165.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","165.00","165.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","165.00","165.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","165.00","165.00","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","165.00","165.00","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","165.00","165.00","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","167.09","167.09","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","167.09","167.09","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","167.50","167.50","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","167.50","167.50","P+"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","168.50","168.50","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","170.00","170.00","P+"
