"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","441.36","441.36","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","441.36","441.36","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","464.70","464.70","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","510.00","510.00","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","535.00","535.00","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","538.81","538.81","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","538.81","538.81","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","556.33","556.33","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","565.00","565.00","P+"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","566.00","566.00","P+"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","580.13","580.13","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","586.95","586.95","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","600.00","600.00","P+"
"Allstate Life Insurance Co of New York  ","A+","TrueTerm (2012) - 10 Year","609.00","609.00","P+"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10  (xtended conversion)","612.50","612.50","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","617.50","617.50","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","625.00","625.00","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","635.00","635.00","P+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","639.00","639.00","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","639.00","639.00","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","650.00","650.00","Pf"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","657.50","657.50","P+"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","657.50","657.50","P+"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","660.00","660.00","P+"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","660.00","660.00","P+"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","660.45","660.45","Pf"
