"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","92.00","92.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","93.00","93.00","P+"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","98.00","98.00","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","99.00","99.00","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","99.00","99.00","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","100.00","100.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","101.00","101.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","101.00","101.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","101.00","101.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","101.00","101.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10","101.00","101.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","101.00","101.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","101.00","101.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","101.00","101.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","101.00","101.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","102.00","102.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","103.00","103.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","105.00","105.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","105.00","105.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","105.00","105.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","105.00","105.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","105.00","105.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","105.00","105.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","105.00","105.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","105.00","105.00","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","110.00","110.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","110.87","110.87","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","113.00","113.00","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","113.00","113.00","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","113.00","113.00","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","113.00","113.00","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","113.76","113.76","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","113.76","113.76","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","114.00","114.00","P+"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","115.00","115.00","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","115.00","115.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","115.00","115.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","115.00","115.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","115.00","115.00","P+"
"EMC National Life Company               ","A-","Term Select - 10 Year","116.00","116.00","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","116.00","116.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","117.00","117.00","R+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","118.00","118.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","118.00","118.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","119.00","119.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","119.00","119.00","R+"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","119.90","119.90","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","120.66","120.66","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","121.00","121.00","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","121.00","121.00","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","122.00","122.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","122.00","122.00","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","122.00","122.00","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","123.00","123.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","124.00","124.00","Rg"
"EMC National Life Company               ","A-","Term Select - 10 Year","126.00","126.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","126.00","126.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","126.00","126.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","126.00","126.00","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","127.00","127.00","R+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","127.00","127.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","127.00","127.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","128.00","128.00","Rg"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","128.00","128.00","P+"
"Sagicor Life Insurance Company          ","A-","SI - Sage Term 10  (Simplified Issue)","128.00","128.00","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","128.50","128.50","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","128.50","128.50","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","129.00","129.00","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","130.00","130.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","130.00","130.00","Pf"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","130.68","130.68","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","131.00","131.00","P+"
"Midland National Life Insurance Company ","A+","Executive CS3 - 10 Year Term","132.00","132.00","P+"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","133.00","133.00","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","134.00","134.00","R+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","134.00","134.00","R+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","134.00","134.00","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","134.00","134.00","P+"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","134.00","134.00","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","134.00","134.00","R+"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","134.20","134.20","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","135.88","135.88","R+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","136.00","136.00","R+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","136.00","136.00","R+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","136.00","136.00","R+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","136.00","136.00","R+"
"Genworth Life Insurance Company         ","A","Colony Term 10","136.00","136.00","R+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","136.00","136.00","R+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","136.00","136.00","R+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","136.00","136.00","R+"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","136.00","136.00","Rg"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","136.00","136.00","R+"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","137.00","137.00","P+"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","137.00","137.00","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","137.00","137.00","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","139.00","139.00","R+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","139.00","139.00","R+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","139.00","139.00","R+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","139.00","139.00","R+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","141.00","141.00","R+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","141.00","141.00","Rg"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","141.00","141.00","Rg"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","141.00","141.00","Rg"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","141.00","141.00","Rg"
"Genworth Life Insurance Company         ","A","Colony Term 10","141.00","141.00","Rg"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","141.00","141.00","Rg"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","141.00","141.00","Rg"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","141.00","141.00","Rg"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","141.00","141.00","Rg"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","141.00","141.00","P+"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","141.00","141.00","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","141.00","141.00","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term","141.00","141.00","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","141.00","141.00","Rg"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","141.50","141.50","P+"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","141.50","141.50","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","142.00","142.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","142.00","142.00","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","142.00","142.00","Pf"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","143.00","143.00","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","143.00","143.00","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","144.00","144.00","Pf"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","144.50","144.50","Pf"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","144.50","144.50","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","146.00","146.00","R+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","146.40","146.40","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","147.00","147.00","R+"
"Provident Life and Accident Assurance   ","A","Level Term I - 10 Year","147.00","147.00","P+"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","147.40","147.40","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","149.20","149.20","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","149.20","149.20","Rg"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","150.00","150.00","R+"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","151.00","151.00","P+"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","151.00","151.00","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","152.00","152.00","Rg"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","152.00","152.00","Rg"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","152.00","152.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","152.00","152.00","R+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","152.00","152.00","R+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","153.00","153.00","Rg"
"Midland National Life Insurance Company ","A+","Executive CS3 - 10 Year Term","153.00","153.00","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","153.00","153.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","153.00","153.00","R+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","153.00","153.00","R+"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","153.00","153.00","R+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","153.00","153.00","Rg"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","153.00","153.00","Rg"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","154.00","154.00","Rg"
"North American Co for Life and Health   ","A+","ADDvantage 10","154.00","154.00","Rg"
"EMC National Life Company               ","A-","Term Select - 10 Year","155.00","155.00","Rg"
"AAA Life Insurance Company              ","A-","10 Year Level Term","156.53","156.53","Rg"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","156.60","156.60","Rg"
"Assurity Life Insurance Company         ","A-","SI - Non Med Term 350 - 10 Year Level","157.00","157.00","P+"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","157.00","157.00","Rg"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","158.00","158.00","Rg"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","158.00","158.00","Rg"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","158.00","158.00","Rg"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","158.00","158.00","Rg"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","160.00","160.00","Rg"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","160.80","160.80","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10","161.00","161.00","P+"
"Provident Life and Accident Assurance   ","A","Level Term II - 10 Year","163.00","163.00","P+"
"Provident Life and Accident Assurance   ","A","Level Term I - 10 Year","163.00","163.00","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","164.00","164.00","R+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","164.00","164.00","Rg"
"Pan-American Life Insurance Company     ","A","10-Year Level Term","165.00","165.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","166.00","166.00","Rg"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","166.00","166.00","Rg"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","166.00","166.00","Rg"
"Columbian Life Insurance Company        ","A-","Term Line 10 - 10 Year R&C Term","168.00","168.00","Pf"
"Columbian Mutual Life Insurance Company ","A-","Term Line 10 - 10 Year R&C Term","168.00","168.00","Pf"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","168.00","168.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","168.00","168.00","Pf"
"Sagicor Life Insurance Company          ","A-","SI - Sage Term 10  (Simplified Issue)","170.00","170.00","Rg"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","170.00","170.00","Rg"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","171.50","171.50","R+"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","171.50","171.50","R+"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","172.00","172.00","Rg"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","172.00","172.00","Rg"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","173.00","173.00","P+"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","173.00","173.00","P+"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (250K PruXpr / OR)","173.00","173.00","P+"
