"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","885.00","885.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","912.00","912.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","961.00","961.00","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","985.00","985.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","985.00","985.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","985.00","985.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","985.00","985.00","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","985.00","985.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","1,017.00","1,017.00","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","1,029.00","1,029.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","1,029.00","1,029.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","1,040.66","1,040.66","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","1,062.00","1,062.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","1,062.00","1,062.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","1,062.00","1,062.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","1,062.00","1,062.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","1,062.00","1,062.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","1,062.00","1,062.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","1,062.00","1,062.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","1,062.00","1,062.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","1,062.00","1,062.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","1,062.00","1,062.00","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","1,066.00","1,066.00","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","1,071.00","1,071.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","1,082.00","1,082.00","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","1,084.02","1,084.02","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","1,084.02","1,084.02","Rg"
"EMC National Life Company               ","A-","Term Select - 10 Year","1,086.00","1,086.00","Pf"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","1,090.80","1,090.80","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10","1,092.00","1,092.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","1,092.00","1,092.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","1,092.00","1,092.00","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","1,115.00","1,115.00","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","1,117.00","1,117.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","1,117.00","1,117.00","Pf"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","1,118.00","1,118.00","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","1,119.00","1,119.00","Pf"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","1,127.00","1,127.00","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","1,127.00","1,127.00","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","1,133.00","1,133.00","Pf"
"Assurity Life Insurance Company         ","A-","SI - Non Med Term 350 - 10 Year Level","1,139.00","1,139.00","P+"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","1,144.00","1,144.00","Pf"
