"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","1,365.00","1,365.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term","1,380.00","1,380.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term  (WA)","1,380.00","1,380.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","1,380.00","1,380.00","Pf"
"Lincoln Life & Annuity Company of NY    ","A+","LifeElement (SM) Level Term - 10 Year","1,380.00","1,380.00","Pf"
"Lincoln National Life Insurance Company ","A+","LifeElement (SM) Level Term - 10 Year","1,380.00","1,380.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","1,382.40","1,382.40","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","1,415.00","1,415.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","1,415.00","1,415.00","Pf"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","1,417.00","1,417.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","1,460.00","1,460.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","1,460.00","1,460.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","1,460.00","1,460.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","1,460.00","1,460.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","1,460.00","1,460.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","1,460.00","1,460.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","1,460.00","1,460.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","1,460.00","1,460.00","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","1,480.00","1,480.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","1,495.00","1,495.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","1,495.00","1,495.00","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","1,495.00","1,495.00","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","1,498.00","1,498.00","Pf"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","1,512.50","1,512.50","Pf"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","1,512.50","1,512.50","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","1,515.00","1,515.00","Pf"
"Sagicor Life Insurance Company          ","A-","Sage Term 10","1,520.00","1,520.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","1,525.00","1,525.00","Pf"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","1,531.00","1,531.00","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","1,545.00","1,545.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","1,550.00","1,550.00","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","1,555.00","1,555.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","1,555.00","1,555.00","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","1,559.33","1,559.33","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","1,559.33","1,559.33","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term","1,565.00","1,565.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","1,565.00","1,565.00","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","1,607.00","1,607.00","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","1,610.00","1,610.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","1,610.00","1,610.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) - 10 Year Term II  (VI)","1,610.00","1,610.00","Pf"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","1,613.20","1,613.20","Rg"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","1,615.00","1,615.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","1,625.00","1,625.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","1,625.00","1,625.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (250K PruXpr / OR)","1,625.00","1,625.00","Pf"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Essential 10 (NY/<250K PruXpress)","1,625.00","1,625.00","Pf"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","1,635.00","1,635.00","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","1,635.00","1,635.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term","1,640.00","1,640.00","Rg"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term  (WA)","1,640.00","1,640.00","Rg"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","1,640.00","1,640.00","Pf"
"AXA Equitable Life Insurance Company    ","A+","Equitable Term 10  (151X)","1,655.00","1,655.00","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","1,660.00","1,660.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","1,660.00","1,660.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10","1,660.00","1,660.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","1,685.00","1,685.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","1,685.00","1,685.00","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","1,695.00","1,695.00","Pf"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","1,714.05","1,714.05","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","1,730.00","1,730.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","1,755.00","1,755.00","Rg"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","1,760.00","1,760.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","1,760.00","1,760.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","1,760.00","1,760.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (<250K PruXpress ONLY)","1,780.00","1,780.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (<250K PruXpress ONLY/WA)","1,780.00","1,780.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (250K PruXpress/OR","1,780.00","1,780.00","Pf"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Elite 10  (NY/<250K PruXpress ONLY)","1,780.00","1,780.00","Pf"
"Allstate Life Insurance Co of New York  ","A+","TrueTerm (2012) - 10 Year","1,782.00","1,782.00","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year","1,790.00","1,790.00","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year  (OR)","1,790.00","1,790.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","1,795.00","1,795.00","Rg"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","1,800.00","1,800.00","Pf"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","1,800.00","1,800.00","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","1,824.00","1,824.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","1,824.00","1,824.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Express 10  (250K+)","1,830.00","1,830.00","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","1,835.00","1,835.00","Pf"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","1,844.04","1,844.04","Pf"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","1,850.00","1,850.00","Pf"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","1,865.00","1,865.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (2005)","1,865.00","1,865.00","Pf"
"Western-Southern Life Assurance Company ","A+","10-Year Guaranteed Level Term","1,865.00","1,865.00","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","1,870.00","1,870.00","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","1,900.00","1,900.00","Rg"
"Transamerica Life Insurance Company     ","A+","Trendsetter LB 10","1,900.00","1,900.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","1,905.00","1,905.00","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","1,905.00","1,905.00","Rg"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","1,910.00","1,910.00","Rg"
"Lincoln Life & Annuity Company of NY    ","A+","LifeElement (SM) Level Term - 10 Year","1,925.00","1,925.00","Rg"
"Lincoln National Life Insurance Company ","A+","LifeElement (SM) Level Term - 10 Year","1,925.00","1,925.00","Rg"
"EMC National Life Company               ","A-","Term Select - 10 Year","1,935.00","1,935.00","Rg"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","1,940.00","1,940.00","Rg"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","1,940.00","1,940.00","Rg"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","1,940.00","1,940.00","Rg"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","1,940.00","1,940.00","Rg"
"Genworth Life Insurance Company         ","A","Colony Term 10","1,940.00","1,940.00","Rg"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","1,940.00","1,940.00","Rg"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","1,940.00","1,940.00","Rg"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","1,940.00","1,940.00","Rg"
"John Hancock Life Insurance Company USA ","A+","10 Year Level Premium Term","1,940.00","1,940.00","Pf"
"John Hancock Life Insurance Company NY  ","A+","10 Year Level Premium Term","1,940.00","1,940.00","Pf"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","1,946.00","1,946.00","Rg"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","1,947.50","1,947.50","Rg"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","1,947.50","1,947.50","Rg"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year","1,955.00","1,955.00","Rg"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year  (OR)","1,955.00","1,955.00","Rg"
"AAA Life Insurance Company              ","A-","10 Year Level Term","1,964.16","1,964.16","Rg"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","1,968.00","1,968.00","Rg"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","1,975.00","1,975.00","Rg"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","1,975.00","1,975.00","Rg"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","1,975.00","1,975.00","Rg"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","1,985.00","1,985.00","Rg"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","1,991.00","1,991.00","Rg"
"Independent Order of Foresters          ","A","Foresters Lifefirst - 10 Year","1,995.00","1,995.00","Pf"
"Columbian Life Insurance Company        ","A-","Term Line 10 - 10 Year R&C Term","2,020.00","2,020.00","Rg"
