"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","390.00","390.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","392.50","392.50","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","395.00","395.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","402.19","402.19","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","405.00","405.00","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","407.50","407.50","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","407.50","407.50","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","412.50","412.50","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","412.50","412.50","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","412.50","412.50","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year","417.50","417.50","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year  (OR)","417.50","417.50","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","421.50","421.50","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","421.50","421.50","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","422.50","422.50","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","422.50","422.50","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","425.00","425.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","427.50","427.50","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","427.50","427.50","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","432.50","432.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","437.50","437.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","437.50","437.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","437.50","437.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","437.50","437.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","437.50","437.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","437.50","437.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","437.50","437.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","437.50","437.50","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","440.00","440.00","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","442.50","442.50","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","452.50","452.50","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","452.50","452.50","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","460.00","460.00","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","465.00","465.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","465.00","465.00","Pf"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","467.50","467.50","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","467.50","467.50","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","467.50","467.50","Pf"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","470.00","470.00","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","472.50","472.50","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","472.50","472.50","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","480.00","480.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","480.00","480.00","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","481.88","481.88","Rg"
