"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year","275.00","74.25","P+"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","275.00","72.88","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year Plus","290.00","78.30","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","295.00","76.70","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","300.00","78.00","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","300.00","78.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","Premier LT Suite 10-Year  (4/2007)","300.00","79.50","P+"
"Protective Life Insurance Company       ","A+","Secure-T - 10 Year No Lapse UL","304.89","79.27","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","305.00","82.35","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","305.00","82.35","P+"
"American National Insurance Company     ","A","ANICO Signature Term 10","310.00","82.15","P+"
"American National Life Ins Company of NY","A","ANICO Signature Term 10","310.00","82.15","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","310.00","80.40","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","310.00","80.40","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Term Life - 10 Year","310.00","80.60","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","310.00","82.15","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","315.00","81.90","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term  (OR)","315.00","81.90","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","315.00","83.48","P+"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","315.00","82.22","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","315.00","81.90","P+"
"Lincoln Life & Annuity Company of NY    ","A+","LifeElement (SM) Level Term - 10 Year","320.00","83.84","P+"
"Lincoln National Life Insurance Company ","A+","LifeElement (SM) Level Term - 10 Year","320.00","83.84","P+"
"Symetra Life Insurance Company          ","A","10 Year Level Term","320.00","84.80","P+"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","320.00","84.80","P+"
"Protective Life Insurance Company       ","A+","Secure-T - 10 Year No Lapse UL  (2011)","320.10","80.88","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","325.00","84.50","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","325.00","84.50","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","329.00","88.83","P+"
"United States Life Ins in the City of NY","A","Select-a-Term - 10 Year","329.00","88.83","P+"
"Midland National Life Insurance Company ","A+","Premier CS4 - 10 Year Term","330.00","88.76","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","330.00","94.05","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term UL 10  (200K+)","334.24","84.56","P+"
"Genworth Life Insurance Company         ","A","Colony Term UL 10  (200K+)","334.24","84.56","P+"
"Genworth Life Insurance Company of NY   ","A","Colony Term UL 10  (200K+)","334.24","84.56","P+"
"First MetLife Investors Insurance Co    ","A+","Guaranteed Level Term 10","344.00","92.88","P+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","344.00","92.88","P+"
"","","","344.00","92.88","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","345.00","93.15","P+"
"Sagicor Life Insurance Company          ","A-","Platinum Series 10","345.00","91.43","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","345.00","89.70","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","345.00","89.70","P+"
"Principal Life Insurance Company        ","A+","10-Year Term","350.00","91.88","P+"
