"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VII - 10 Year","190.00","51.30","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VII - 10 Year Plus","200.00","54.00","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term Guaranteed 10","202.50","52.65","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed 10","202.50","52.65","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed (OR)","202.50","52.65","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","210.00","54.60","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term  (OR)","210.00","54.60","P+"
"William Penn Life Insurance Co of NY    ","A+","Penn Term 10","210.00","54.60","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term UL 10  (200K+)","214.16","54.18","P+"
"Genworth Life Insurance Company         ","A","Colony Term UL 10  (200K+)","214.16","54.18","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","215.00","55.90","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Term Life - 10 Year","215.00","55.90","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Term Life - 10 Year","215.00","55.90","P+"
"Protective Life Insurance Company       ","A+","Secure-T - 10 Year No Lapse UL","216.03","54.58","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year  (MS)","216.50","57.37","P+"
"Genworth Life Insurance Company of NY   ","A","Colony Term UL 10  (200K+)","216.75","54.83","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","220.00","58.30","P+"
"Transamerica Life Insurance Company     ","A+","TransTerm UL 10","220.00","55.82","P+"
"Midland National Life Insurance Company ","A+","Premier CS4 - 10 Year Term","222.50","60.06","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","222.50","63.41","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","224.00","59.36","P+"
"First MetLife Investors Insurance Co    ","A+","Guaranteed Level Term 10","224.00","60.48","P+"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","224.00","60.48","P+"
"","","","224.00","60.48","P+"
"United States Life Ins in the City of NY","A","Select-a-Term - 10 Year","224.00","59.36","P+"
"Principal Life Insurance Company        ","A+","10-Year Term","225.00","59.06","P+"
"Principal National Life Insurance Co    ","A+","10-Year Term","225.00","59.06","P+"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term","225.50","59.76","P+"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term  (OR)","225.50","59.76","P+"
"ReliaStar Life Insurance of NY    (ING) ","A","TermSmart 10 - 10 Year Term  (NY)","225.50","59.76","P+"
"Hartford Life and Annuity Insurance Co  ","A","Hartford Bicentennial Term 10","230.00","59.80","P+"
"Hartford Life Insurance Company         ","A","Hartford Bicentennial Term 10","230.00","59.80","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","230.00","62.10","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","230.00","62.10","P+"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","232.50","60.68","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","235.00","60.90","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","235.00","60.90","P+"
"Sagicor Life Insurance Company          ","A-","Platinum Series 10","235.00","62.28","P+"
"Union Central Life Insurance Company    ","A","Keystone Term 10  (WA)","235.00","60.90","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","237.50","61.75","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","237.50","61.75","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","240.00","63.60","P+"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","242.50","63.05","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term Guaranteed 10","245.00","63.70","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed 10","245.00","63.70","Pf"
