"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Genworth Life and Annuity Insurance Co  ","A","Colony Term UL 10  (200K+)","104.50","26.45","P+"
"Genworth Life Insurance Company         ","A","Colony Term UL 10  (200K+)","104.50","26.45","P+"
"Genworth Life Insurance Company of NY   ","A","Colony Term UL 10  (200K+)","104.50","26.45","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term Guaranteed 10","107.50","27.95","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed 10","107.50","27.95","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed (OR)","107.50","27.95","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Term Life - 10 Year","110.00","28.60","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Term Life - 10 Year","110.00","28.60","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","117.50","30.55","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term  (OR)","117.50","30.55","P+"
"William Penn Life Insurance Co of NY    ","A+","Penn Term 10","117.50","30.55","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","119.00","31.54","P+"
"United States Life Ins in the City of NY","A","Select-a-Term - 10 Year","119.00","31.54","P+"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term","120.50","31.93","P+"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term  (OR)","120.50","31.93","P+"
"ReliaStar Life Insurance of NY    (ING) ","A","TermSmart 10 - 10 Year Term  (NY)","120.50","31.93","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year  (2009)","121.50","32.20","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term Guaranteed 10","122.50","31.85","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed 10","122.50","31.85","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed (OR)","122.50","31.85","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","122.50","32.46","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year  (NY)","122.50","32.46","P+"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","122.50","31.85","P+"
"Transamerica Life Insurance Company     ","A+","TransTerm UL 10","122.50","31.14","P+"
"Midland National Life Insurance Company ","A+","Premier CS4 - 10 Year Term","125.00","34.02","P+"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) - 10 Year Term","125.00","33.13","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","125.00","35.63","P+"
"Ohio National Life Assurance Corporation","A+","Term 10 Plus","125.00","33.75","P+"
"Ohio National Life Assurance Corporation","A+","Term 10","125.00","33.75","P+"
