"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Liberty Life Insurance Company          ","A-","RBC LevelTERM - 10 Year Term","134.00","N/A","Pf"
"Woman's Life Insurance Society          ","A-","Ten Year Renewable and Convertible Term","140.00","39.20","Pf"
"Government Personnel Mutual Life        ","A-","Mark X - 10 Year Level Term","141.00","36.94","Pf"
"Assurity Life Insurance Company         ","A-","Non Med Term 350 - 10 Year Level","142.00","37.49","P+"
"Liberty Life Insurance Company          ","A-","RBC LevelTERM - 10 Year Term","145.00","N/A","R+"
"Security Mutual Life Insurance Co of NY ","A-","Premier LT Suite 10-Year  (4/2007)","149.00","39.49","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","150.00","39.75","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","153.00","39.78","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term UL 10  (50K-199K)","153.61","38.87","Pf"
"Genworth Life Insurance Company         ","A","Colony Term UL 10  (50K-199K)","153.61","38.87","Pf"
"Genworth Life Insurance Company of NY   ","A","Colony Term UL 10  (50K-199K)","153.61","38.87","Pf"
"Transamerica Life Ins Co  (Family Mkt)  ","A+","Ultima Champion - 10 Year  (NJ,RI&VA)","154.00","40.04","Pf"
"Western Reserve Life Assurance Co of OH ","A+","WRL TermPlus - 10 Year  (MN & VA)","154.00","40.04","Pf"
"Woman's Life Insurance Society          ","A-","Ten Year Renewable and Convertible Term","155.00","43.40","Rg"
"Assurity Life Insurance Company         ","A-","Non Med Term 350 - 10 Year Level","158.00","41.71","Pf"
"Liberty Life Insurance Company          ","A-","RBC ExpressTERM II - 10 Year","158.00","41.29","Rg"
"Ohio National Life Assurance Corporation","A+","Term 10","158.00","42.66","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","158.00","41.87","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","158.00","41.87","Pf"
"Trustmark Insurance Company             ","A-","TermNet 10-Year Term","158.00","41.08","Pf"
"American Community Mutual Insurance     ","E","Term 10 Level Term Life","160.00","41.60","Rg"
"Jackson National Life Insurance Company ","A+","Protector 10-Year Term","161.00","43.47","Pf"
"Baltimore Life Insurance Company        ","B++","Secure Solution Protector - 10 Year Term","162.00","43.74","Pf"
"Transamerica Life Insurance Company     ","A+","TransTerm UL 10","162.00","41.13","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","163.00","42.38","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term  (OR)","163.00","42.38","Pf"
"NYLIFE Insurance Company of Arizona     ","A++","Term to Age 90 - 10 Year Level Term","163.00","46.45","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","163.00","42.38","Pf"
"Transamerica Life Insurance Co  (TIIG)  ","A+","Trendsetter Super 10","163.00","42.38","Pf"
"Transamerica Life Insurance Co  (TIIG)  ","A+","Trendsetter Super 10  (MD)","163.00","42.38","Pf"
"Transamerica Life Ins Co  (Family Mkt)  ","A+","Champion Term II 10","163.00","42.38","Pf"
"Western Reserve Life Assurance Co of OH ","A+","WRL TermPlus II 10","163.00","42.38","Pf"
"William Penn Life Insurance Co of NY    ","A+","Penn Term 10","163.00","42.38","Pf"
"Ohio National Life Assurance Corporation","A+","Term 10 Plus","164.00","44.28","Pf"
"Security Mutual Life Insurance Co of NY ","A-","Premier LT Suite 10-Year  (4/2007)","166.00","43.99","Rg"
"Sunset Life Insurance Company of America","A","Term 10 - 10 Year Term","167.00","45.09","Pf"
"First Ameritas Life Insurance of NY     ","A","Keystone Term 10","169.00","43.74","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","169.00","44.79","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year  (NY)","169.00","44.79","Pf"
"Union Central Life Insurance Company    ","A","Keystone Term 10","169.00","43.74","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term Guaranteed 10","170.00","44.20","Pf"
"Gleaner Life Insurance Society          ","A-","Gleaner Term - 10-Year","170.00","44.20","Pf"
"Illinois Mutual Life Insurance Company  ","B+","10-Year Term","170.00","45.05","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed 10","170.00","44.20","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed (OR)","170.00","44.20","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","171.00","45.32","Rg"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Term Life - 10 Year","173.00","44.98","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Term Life - 10 Year","173.00","44.98","Pf"
"Motorists Life Insurance Company        ","A-","Value Term Plus - 10-Year Plan","177.00","46.02","Pf"
"Baltimore Life Insurance Company        ","B++","Secure Solution Protector - 10 Year Term","178.00","48.06","Rg"
"Ohio National Life Assurance Corporation","A+","Term 10","178.00","48.06","Rg"
"First Central National Life of New York ","A","Simple Term - 10 Year","179.00","46.54","Rg"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","180.00","46.80","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term  (NY)","180.00","46.80","Pf"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term","180.00","47.70","Pf"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term  (OR)","180.00","47.70","Pf"
"ReliaStar Life Insurance of NY    (ING) ","A","TermSmart 10 - 10 Year Term  (NY)","180.00","47.70","Pf"
